date,Mon,Tue,Wed,Thr,Fri,Sat,Sun,SNOW,Precipitation,Holiday,yellow taxi,FHV,Total (FHV + yellow taxi)
10/24/2015,0,0,0,0,0,1,0,0,0,0,12762,3697,16459
10/25/2015,0,0,0,0,0,0,1,0,0.05,0,10849,2583,13432
10/26/2015,1,0,0,0,0,0,0,0,0,0,11831,2580,14411
10/27/2015,0,1,0,0,0,0,0,0,0,0,12961,3037,15998
10/28/2015,0,0,1,0,0,0,0,0,1.4,0,13119,4327,17446
10/29/2015,0,0,0,1,0,0,0,0,0.04,0,13553,3770,17323
10/30/2015,0,0,0,0,1,0,0,0,0,0,13523,4025,17548
10/31/2015,0,0,0,0,0,1,0,0,0,0,13643,4017,17660
11/1/2015,0,0,0,0,0,0,1,0,0,0,12743,2984,15727
11/2/2015,1,0,0,0,0,0,0,0,0,0,11357,2672,14029
11/3/2015,0,1,0,0,0,0,0,0,0,0,12182,2862,15044
11/4/2015,0,0,1,0,0,0,0,0,0,0,12773,3197,15970
11/5/2015,0,0,0,1,0,0,0,0,0.01,0,13283,3741,17024
11/6/2015,0,0,0,0,1,0,0,0,0,0,13903,3882,17785
11/7/2015,0,0,0,0,0,1,0,0,0,0,12985,3376,16361
11/8/2015,0,0,0,0,0,0,1,0,0,0,10794,2562,13356
11/9/2015,1,0,0,0,0,0,0,0,0,0,11655,2808,14463
11/10/2015,0,1,0,0,0,0,0,0,0.26,0,13012,3887,16899
11/11/2015,0,0,1,0,0,0,0,0,0.43,0,11952,3224,15176
11/12/2015,0,0,0,1,0,0,0,0,0.01,0,13885,3959,17844
11/13/2015,0,0,0,0,1,0,0,0,0,0,14018,4249,18267
11/14/2015,0,0,0,0,0,1,0,0,0,0,13259,3962,17221
11/15/2015,0,0,0,0,0,0,1,0,0,0,10240,2707,12947
11/16/2015,1,0,0,0,0,0,0,0,0,0,11484,2704,14188
11/17/2015,0,1,0,0,0,0,0,0,0,0,12925,3277,16202
11/18/2015,0,0,1,0,0,0,0,0,0,0,13179,3573,16752
11/19/2015,0,0,0,1,0,0,0,0,1.25,0,12925,4917,17842
11/20/2015,0,0,0,0,1,0,0,0,0,0,13586,4207,17793
11/21/2015,0,0,0,0,0,1,0,0,0,0,12841,3854,16695
11/22/2015,0,0,0,0,0,0,1,0,0.03,0,10002,2675,12677
11/23/2015,1,0,0,0,0,0,0,0,0,0,11964,3220,15184
11/24/2015,0,1,0,0,0,0,0,0,0,0,12325,3613,15938
11/25/2015,0,0,1,0,0,0,0,0,0,0,11121,3197,14318
11/26/2015,0,0,0,1,0,0,0,0,0,1,6880,1589,8469
11/27/2015,0,0,0,0,1,0,0,0,0,0,7684,1564,9248
11/28/2015,0,0,0,0,0,1,0,0,0.02,0,9433,2287,11720
11/29/2015,0,0,0,0,0,0,1,0,0,0,8738,2033,10771
11/30/2015,1,0,0,0,0,0,0,0,0,0,11213,2811,14024
12/1/2015,0,1,0,0,0,0,0,0,0.33,0,12543,3772,16315
12/2/2015,0,0,1,0,0,0,0,0,0.14,0,12917,3792,16709
12/3/2015,0,0,0,1,0,0,0,0,0,0,14261,3999,18260
12/4/2015,0,0,0,0,1,0,0,0,0,0,14509,4286,18795
